poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
81623,1677,The Political Matrix/The Listener Group,"","",The Political Matrix/The Listener Group,677,The Political Matrix/The Listener Group,,IVR,Florida,11/6/22,11/7/22,,"",,165294,722,lv,,lv,,11/7/22 19:07,"",https://projects.fivethirtyeight.com/polls/20221107_FL_Listener.pdf,"",false,,8959,2022,Governor,0,,11/8/22,general,false,false,,DEM,Crist,18852,Charlie Crist,48.0
81623,1677,The Political Matrix/The Listener Group,"","",The Political Matrix/The Listener Group,677,The Political Matrix/The Listener Group,,IVR,Florida,11/6/22,11/7/22,,"",,165294,722,lv,,lv,,11/7/22 19:07,"",https://projects.fivethirtyeight.com/polls/20221107_FL_Listener.pdf,"",false,,8959,2022,Governor,0,,11/8/22,general,false,false,,REP,DeSantis,18851,Ron DeSantis,52.0
81629,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Arizona,11/5/22,11/7/22,,"",,165314,1094,lv,,lv,,11/7/22 22:26,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,"",false,REP,8954,2022,Governor,0,,11/8/22,general,false,false,,DEM,Hobbs,28718,Katie Hobbs,46.9
81629,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Arizona,11/5/22,11/7/22,,"",,165314,1094,lv,,lv,,11/7/22 22:26,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,"",false,REP,8954,2022,Governor,0,,11/8/22,general,false,false,,REP,Lake,28719,Kari Lake,50.5
81775,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Nevada,11/5/22,11/7/22,,"",,166096,1089,lv,,lv,,12/7/22 13:24,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,"",false,REP,8972,2022,Governor,0,,11/8/22,general,false,false,,DEM,Sisolak,28669,Steve Sisolak,46.1
81775,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Nevada,11/5/22,11/7/22,,"",,166096,1089,lv,,lv,,12/7/22 13:24,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,"",false,REP,8972,2022,Governor,0,,11/8/22,general,false,false,,REP,Lombardo,28671,Joe Lombardo,48.6
81775,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Nevada,11/5/22,11/7/22,,"",,166096,1089,lv,,lv,,12/7/22 13:24,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,"",false,REP,8972,2022,Governor,0,,11/8/22,general,false,false,,LIB,Davis,30134,Brandon Davis,2.1
81776,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,11/5/22,11/7/22,,"",,166097,1097,lv,,lv,,12/7/22 13:24,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,"",false,REP,8969,2022,Governor,0,,11/8/22,general,false,false,,DEM,Whitmer,18853,Gretchen Whitmer,48.2
81776,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,11/5/22,11/7/22,,"",,166097,1097,lv,,lv,,12/7/22 13:24,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,"",false,REP,8969,2022,Governor,0,,11/8/22,general,false,false,,REP,Dixon,28659,Tudor M. Dixon,48.5
81776,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,11/5/22,11/7/22,,"",,166097,1097,lv,,lv,,12/7/22 13:24,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,"",false,REP,8969,2022,Governor,0,,11/8/22,general,false,false,,LIB,Buzuma,30569,Mary Buzuma,0.6
