model_date,timestamp,cycle,state,created_at,start_date,end_date,election_date,pollster_rating_name,pollster_rating_id,poll_id,question_id,url,partisan,tracking,sample_size,methodology,population,party,candidate_name,pct,raw_sample_size,days_til_election,candidates_tested,poll_sample_size_weight,med_date,number_options,tested_third_party,excludesthirdparty,undecided,numeric_grade,pollster_wt,has_pollster_rating,n_polls_pollster_per_date,number_polls_in_window,frequency_weight,n_states_polled_per_date,number_states_polled_in_window,geo_volume_weight,combined_frequency_weight,cumulative_poll_wt,methodology_simple,response_num,response_cat,state_num,state_abb,region_computed,region_census_big,region_census_small,region,region_num,response,pollster,pollster_coded,state_pollster,state_pollster_coded,mode,mode_coded,day_of_timeline,major_candidate_still_running
2024-11-04,2024-11-04T20:14:20Z,2024,New Hampshire,2024-11-04,2024-11-01,2024-11-03,2024-11-05,The Dartmouth Poll,879,89364,216402,https://projects.fivethirtyeight.com/polls/20241104_NH_Dartmouth.pdf,NA,NA,587,Online Panel,lv,DEM,Kamala Harris,61.9,587,2,Donald Trump Kamala Harris,0.7661592523751182,2024-11-02,2,0,1,4.599999999999994,NA,0.5,FALSE,1,1,1,1,1,0.882,0.882,0.441,Online Non-Prob Panel,1,DEM,35,NH,New England,Northeast,New England,New England,3,61.9,879,154,NH879,338,Online Non-Prob Panel,7,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,New Hampshire,2024-11-04,2024-11-01,2024-11-03,2024-11-05,The Dartmouth Poll,879,89364,216402,https://projects.fivethirtyeight.com/polls/20241104_NH_Dartmouth.pdf,NA,NA,587,Online Panel,lv,REP,Donald Trump,33.5,587,2,Donald Trump Kamala Harris,0.7661592523751182,2024-11-02,2,0,1,4.599999999999994,NA,0.5,FALSE,1,1,1,1,1,0.882,0.882,0.441,Online Non-Prob Panel,2,REP,35,NH,New England,Northeast,New England,New England,3,33.5,879,154,NH879,338,Online Non-Prob Panel,7,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,National,2024-11-04,2024-11-02,2024-11-03,2024-11-05,Research Co.,449,89348,216258,https://researchco.ca/2024/11/04/us-nationwide-nov2024/,NA,NA,1003,Online Panel,lv,DEM,Kamala Harris,48,1003,2,Donald Trump Kamala Harris,1.0014988766843425,2024-11-02,2,0,1,6,2.4,1.1881770515720091,TRUE,1,1,1,11,11,0.7483364058434822,1,1.1881770515720091,Online Non-Prob Panel,1,DEM,57,NA,NA,NA,NA,NA,NA,48,449,94,NA449,247,Online Non-Prob Panel,7,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,National,2024-11-04,2024-11-02,2024-11-03,2024-11-05,Research Co.,449,89348,216258,https://researchco.ca/2024/11/04/us-nationwide-nov2024/,NA,NA,1003,Online Panel,lv,REP,Donald Trump,46,1003,2,Donald Trump Kamala Harris,1.0014988766843425,2024-11-02,2,0,1,6,2.4,1.1881770515720091,TRUE,1,1,1,11,11,0.7483364058434822,1,1.1881770515720091,Online Non-Prob Panel,2,REP,57,NA,NA,NA,NA,NA,NA,46,449,94,NA449,247,Online Non-Prob Panel,7,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,New Mexico,2024-11-04,2024-11-01,2024-11-03,2024-11-05,Victory Insights,673,89334,216209,https://irp.cdn-website.com/07e08705/files/uploaded/PressRelease_NM_11-04-2024-fac888e7.pdf,NA,NA,600,IVR/Text-to-Web,lv,DEM,Kamala Harris,49.6,600,2,Donald Trump Kamala Harris,0.7745966692414834,2024-11-02,2,0,1,5.699999999999989,1.3,0.8744746321952063,TRUE,1,1,1,2,3,0.8470728,1,0.8744746321952063,IVR/Mostly IVR,1,DEM,37,NM,Southwest,West,Southwest,Southwest,10,49.6,673,115,NM673,347,IVR/Mostly IVR,4,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,New Mexico,2024-11-04,2024-11-01,2024-11-03,2024-11-05,Victory Insights,673,89334,216209,https://irp.cdn-website.com/07e08705/files/uploaded/PressRelease_NM_11-04-2024-fac888e7.pdf,NA,NA,600,IVR/Text-to-Web,lv,REP,Donald Trump,44.7,600,2,Donald Trump Kamala Harris,0.7745966692414834,2024-11-02,2,0,1,5.699999999999989,1.3,0.8744746321952063,TRUE,1,1,1,2,3,0.8470728,1,0.8744746321952063,IVR/Mostly IVR,2,REP,37,NM,Southwest,West,Southwest,Southwest,10,44.7,673,115,NM673,347,IVR/Mostly IVR,4,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,Arizona,2024-11-04,2024-11-02,2024-11-03,2024-11-05,Victory Insights,673,89333,216208,https://irp.cdn-website.com/07e08705/files/uploaded/PressRelease_AZ_11-04-2024.pdf,NA,NA,750,IVR/Text-to-Web,lv,DEM,Kamala Harris,48.4,750,2,Donald Trump Kamala Harris,0.8660254037844386,2024-11-02,2,0,1,2.4000000000000057,1.3,0.8744746321952063,TRUE,1,1,1,2,3,0.8470728,1,0.8744746321952063,IVR/Mostly IVR,1,DEM,3,AZ,Southwest,West,Southwest,Southwest,10,48.4,673,115,AZ673,27,IVR/Mostly IVR,4,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,Arizona,2024-11-04,2024-11-02,2024-11-03,2024-11-05,Victory Insights,673,89333,216208,https://irp.cdn-website.com/07e08705/files/uploaded/PressRelease_AZ_11-04-2024.pdf,NA,NA,750,IVR/Text-to-Web,lv,REP,Donald Trump,49.2,750,2,Donald Trump Kamala Harris,0.8660254037844386,2024-11-02,2,0,1,2.4000000000000057,1.3,0.8744746321952063,TRUE,1,1,1,2,3,0.8470728,1,0.8744746321952063,IVR/Mostly IVR,2,REP,3,AZ,Southwest,West,Southwest,Southwest,10,49.2,673,115,AZ673,27,IVR/Mostly IVR,4,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,Wisconsin,2024-11-04,2024-11-02,2024-11-03,2024-11-05,Research Co.,449,89330,216181,https://researchco.ca/2024/11/04/states-us-2024/,NA,NA,450,Online Panel,lv,DEM,Kamala Harris,49,450,2,Donald Trump Kamala Harris,0.6708203932499369,2024-11-02,2,0,1,5,2.4,1.1881770515720091,TRUE,1,1,1,11,11,0.7483364058434822,1,1.1881770515720091,Online Non-Prob Panel,1,DEM,55,WI,Rust Belt,Midwest,East North Central,Rust Belt,7,49,449,94,WI449,520,Online Non-Prob Panel,7,89,0
2024-11-04,2024-11-04T20:14:20Z,2024,Wisconsin,2024-11-04,2024-11-02,2024-11-03,2024-11-05,Research Co.,449,89330,216181,https://researchco.ca/2024/11/04/states-us-2024/,NA,NA,450,Online Panel,lv,REP,Donald Trump,46,450,2,Donald Trump Kamala Harris,0.6708203932499369,2024-11-02,2,0,1,5,2.4,1.1881770515720091,TRUE,1,1,1,11,11,0.7483364058434822,1,1.1881770515720091,Online Non-Prob Panel,2,REP,55,WI,Rust Belt,Midwest,East North Central,Rust Belt,7,46,449,94,WI449,520,Online Non-Prob Panel,7,89,0
